id	name	social_media_link	headshot	talk_title	talk_description	biography	talk_id
adrian-zeyfang	Adrian		adrian-zeyfang.png	Probably Impossible: NecroDancer's network code	A technical overview of Crypt of the NecroDancer's unique approach to online multiplayer, based on the principles of rollback, while replacing the conventional frame-based timeline by a turn-based system. Bringing online multiplayer to a rhythm game in which players can directly interact with the world and each other poses many challenges that aren't typically encountered while working on other network games - all while preserving the emergent, quirky mechanics that the game's community grew to love.  This talk introduces a conventional rollback approach, then gradually shapes it into the architecture found in NecroDancer today, describing and resolving edge cases along the way. Follow the journey of how online multiplayer, a feature once dismissed as "impossible", was implemented!	Adrian Zeyfang is a game developer from Germany and founder of Vortex Buffer. While working in enterprise software development, he kept pursuing passion projects on the side. During one of those projects, a rewrite of the rhythm roguelike "Crypt of the NecroDancer" with online multiplayer and mod support, he got a bit carried away, eventually drawing the attention of Brace Yourself Games, the studio behind the game. 2 years of work later, the fan project turned into an official DLC, and Adrian's childhood dream of being a game developer came true.	probable-impossibly
alexander-birke	Alexander Birke	https://www.linkedin.com/in/alexanderbirke/	placeholder.png	Practical procedural world and story generation in Sea Of Rifts, a naval roguelike RPG	Learn how to use ProcGen techniques in a commercial game context, where how long it takes to write your generator, and how easy it is for non-technical persons on the team to integrate content into it, matters as much as the quality of the output. Alexander will give you advice on how to structure your generation so it is easy to expand, and how to create a good test workflow so the whole team can test their content. He will also show how iterating on the level generation led to use signed distance fields for island generation to fit with the requirements for the gameplay. The talk will end with a showcase of the custom tools and workflows he has created for his team to put art and story content into the game's generation.	Alexander is a programmer and designer that has been in the games industry for 14 years and worked in both Denmark and the UK. His work features the intersection of procedural generation, graphics programming, and how to create fun and expressive workflows for devs and players alike.  His past work include 11-11 Memories Retold, PowerWash Simulator, lead on the level creator in What The Car, and working on his own games that utilize ProcGen techniques. 	practical-generation
adnrew-cedotal	Andrew Cedotal		placeholder.png	Literary Origins of the Rogue Archetype	Em and I were discussing the literary origins of the rogue archetype. It's reasonably well documented that the chain back from Rogue (1980) goes something like:  Rogue-->Original Dungeons & Dragons-->Fritz Leiber's Fahfrd and the Grey Mouser stories (cited in OD&D)/The Hobbit/Conan (specifically "Tower of the Elephant) (the three are roughly contemporaneous, and without research I can't tell exactly which one the genealogy runs through)-->Lord Dunsany's thief stories-->Hornung's Raffles stories-->Holmes (Doyle and Hornung were in-laws)-->Poe's Dupin stories-->???  As part of tracing this line of descent, I'd attempt to define precisely what we mean by the fantasy rogue, and then link it briefly to historical attempts to define roguelikes. Two paths that seem fruitful to investigate are:  * The notion that the fantasy rogue is defined by the architecturality of their activities (the notion of entering a specific https://sf-encyclopedia.com/fe/edifice to perpetrate theit activities), a characteristic that clearly separates them from the older and more general tradition of trickster archetypes. * The linkage of the architecturality of the fantasy rogue to the "labyrinth" in "procedural death labyrinths"  Other possible lines of inquiry include:  * Whether the notion of a particular "job" rather than general opportunistic theft helps define the fantasy rogue, making the jewel in "Tower of the Elephant" a predecessor of the Amulet of Yendor and the "Asphalt Jungle"/"Rififi"-codified heist genre a sibling of the roguelike. * Patterns in the linear-media tropes that survived adaptation to roguelikes vs. ones that didn't * The development of the rogue/gentleman-thief archetype as, like the development of the detective literary archetype, a social reaction to urbanization and anxieties about a move from a society based on tight-knit local communities to a society based on socially-atomized, market-and-law-mediated relationships (which, linking to the previous point, prioritize "jobs" over purely self-directed activity)	I'm a software product executive, former video-game studio head, and published board game designer.	literary-origins
brian-cronin	Brian Cronin	https://twitter.com/briangcronin	brian-cronin.jpeg	Block Box Sim for Roguelikes	Gameplay architecture is vital to the success of a roguelike, but it doesn't get the attention it deserves. In this session, we'll cover the "Black Box" approach to running game simulations independently from input, UI, graphics, animation, VFX, and sound.  We'll start with an overview of the benefits of rigorously separating your game logic from input and presentation. Then, we’ll dive deep into a specific implementation that has been successfully used in multiple games, both launched and in the works. We'll break down how it's been used to implement replay systems, undo systems, damage preview, save/load, and networking.  By the end, you’ll see just how powerful this approach can be for your own games.	Brian Cronin is an engineer and designer who can't stop making roguelikes! He previously spoke at Roguelike Celebration in 2021 about Monster Train, a deck building roguelike. Having started on pre-smart phone game development, he's been working on games professionally for 20 years. He works full time in the educational game space and also works on roguelikes in his free time. He's passionate about gameplay architecture, game design, board games, comedy, and Twin Peaks.	black-box
cezar-capacle	Cezar Capacle	https://x.com/capacle	cezar-capacle.png	Enhancing Narrative Through Randomness and Complications	Discover how randomness, particularly through oracles and partial successes, can transform game narratives from predictable paths into dynamic, unique stories. This talk will explore how random elements can drive compelling plotlines without relying on predefined lore, and how diverse complications can turn failures into opportunities for narrative branching. Through practical examples and case studies, we'll explore how structured randomness can lead to emergent storytelling that surprises both players and creators alike.	I'm Cezar Capacle, a Brazilian tabletop game designer currently based in Madeira Island. I've been creating games since 2016 and have dedicated my full time to game design for the past three years, releasing over 30 games known for their light rules and quirky mechanics. Some of them have received recognition from the community through award nominations and wins, and have been translated into 8 languages.	enhancing-narrative
courtney-liessen	Courtney		courtney-liessen.jpg	Cheating the System (By Design!) for Epic Combos	Some games are designed with player-directed "cheating" in mind, where you build up a character with broken-seeming combos that make you feel like you're exploiting the game by growing your power exponentially. The Roguelike genre, in particular, has many examples of this phenomenon, benefitting from its coolness while having the built-in counterbalance of a frequent progress reset. In this talk, I'll discuss some of the reasons why these kinds of power escalations feel so good, approaches to balancing them, how they might apply to various genres, and how to design and implement them in a way that tips the scales into "cheating" rather than just "here's a stronger weapon". Done right, players will feel like they've done something even the game's developer didn't anticipate!	I have been in the game industry for over 20 years professionally, working in key programming and design roles on games such as Halo Wars, Age of Mythology and Age of Empires, Orcs Must Die, Stranger Things 3: The Game, and as lead designer for the AIAS 2013 Mobile Game of the Year Hero Academy. Since starting as a solo developer in 2014, I've published the VR tower defense hit Evil Robot Traffic Jam as well as the Rampart homage Sky Cannoneer. I am currently working on a dream project with my Roguelite Space ARPG Reality Break, where I continue to emphasize visceral moment-to-moment fun, polished aesthetics, and long-term depth and replayability.	cheating-the-system
dan-norder	Dan Norder	https://mastodon.gamedev.place/@elflings	dan-norder.png	Chase: The BASIC Language Proto-Roguelike	In the early years of computing, a small turn-based game called Chase, built in the BASIC programming language, had players escaping robots and luring them into obstacles. It soon developed variations and enhancements as it spread to other computer systems. On the 60th anniversary of BASIC, we will examine these "robotlike" games and how the gameplay might be used in modern roguelikes.	A computer hobbyist for more than 45 years, I got started with roguelike games in 1987 with one of the first versions of NetHack. In the '90s I focused on desktop publishing and then combined those skills and Internet experience into a professional career. I'm currently working on a retro 8-bit pixel art roguelike game project, Elflings.    	chase-basic
eirkr-osheim	Eiríkr	https://merveilles.town/@d6	eirkr-osheim.gif	Uxn: Permacomputing & Roguelikes	Will your favorite roguelikes still be playable in 20 years? How about 50? The Uxn/Varvara ecosystem is a radically simple, portable, and personal approach to computing. Learn how to produce games that fit in 64-kilobyte ROMs and which run on 25-year-old hardware as easily as on modern computers or web browsers. Embrace limits to fuel your creativity!	Eiríkr is a programmer, musician, and artist. Years ago he helped maintain Angband; more recently he has been building tools and libraries for the Uxn/Varvara ecosystem. He's drawn to esoteric knowledge and cryptic systems.	permacomputing
emily-halina	Emily Halina	https://twitter.com/emilyhalina	emily-halina.jpeg	New Levels from a Single Example via Tree-based Reconstructive Partitioning (TRP)	This talk is on Tree-based Reconstructive Partitioning (TRP), a level generation approach which can generate a suite of diverse, structurally sound levels based on a single example level. On a high level, TRP leverages a general game playing agent (Monte Carlo Tree Search) to create a representation of a level in terms of playable and unplayable areas, then recombines playable and unplayable areas from the input level to make new ones. TRP outperforms popular approaches like WaveFunctionCollapse in terms of plagiarism and playability.  In this talk, I’ll showcase the TRP approach. I’ll delve into how the algorithm itself works, show several examples across multiple game domains, and provide comparisons against several other popular low-data level generation approaches. The talk will end with a description of how to implement TRP via an example Godot implementation, along with exploring the challenges and issues with the algorithm and the future work that aims to address these concerns.  I’m particularly excited about this approach because of both the coherency of the output levels in comparison to other low data level generation approaches and the overall elegance of the algorithm. I hope to see you there! 	Emily Halina is a PhD student at the University of Alberta researching human-centered artificial intelligence. She’s interested in procedural content generation, helping designers make games, and her cat Ruka. She’s published work featuring (almost all) of these interests in multiple top AI and Games venues like IJCAI and AIIDE. Before academia, Emily worked as an indie game developer, and as a result she is particularly interested in helping indie devs make weird, cool games with her research.	new-levels
harry-solomons	Harry Solomons	https://x.com/SolomonsWithAnS?t=hmKERMnAog0XSYvi3Kv-ew&s=09	harry-solomons.jpg	Trampling on Ghosts: Hauntology and Permadeath	This talk is an attempt to challenge the ways in which roguelikes handle death, reincarnation, and the way in which the player's failures "haunt" the game's environments. We'll be looking at this through the lens of "hauntology", a cultural theory that deals in cycles of nostalgia and the ghosts that it creates, and looking at how this might apply to roguelites such as Inscryption and Returnal. I promise it won't be quite as morbid as it sounds.	I am a UX and urban designer and visiting lecturer at the University of Roehampton in London. Most of my work revolves around the weird ways in which the digital world shows itself physically in modern cities, and using storytelling as a way to cope with that. Although not a game designer, game design concepts are a key (and fun!) element of my work.	trampling-on-ghosts
