id	date	type	start(PST)	start(CST)	title	description	speakers
	preview	social	15:00	0:00	social space opens		
ufo50	preview	guest-panel	15:15	0:15	Fireside chat with Jon Perry (UFO 50)	Host Alexei Pepers and Jon Perry will chat about game design and his contributions to UFO 50 such as Planet Zoldath, Party House, and Mini & Max!	jon-perry
building-synergy-networks	preview	preview_talk	16:00	1:00	Building Synergy Networks for better Roguelike Deckbuilders	Roguelike Deckbuilders live or die on the quality of the drafting decisions they present. When a player chooses between 3 cards, what is going through their head? This talk is about how to achieve deep but accessible drafting decisions which result in memorable games that excite players. Synergy Networks are a helpful lens for creating sets of cards that achieve these aims. Modeling the synergies between cards as a network allows us to use ideas from network theory like path length, density and hubs. Digressions will include characteristics of synergies, broad types of synergies useful for brainstorming, and why anti-synergy is just as important as synergy itself. This talk is informed by my work designing Hellscaper and Mr Magpie's Harmless Card Game, two roguelike deckbuilders.	ezra-szanton
system-suspense	preview	preview_talk	16:30	1:30	Designing for System Suspense (Open Source Edition)	Have you ever been playing a game that took a sudden swerve so surprising that it left you thinking woah, what is this game even going to do next? Even better, did that feeling linger as you tested new hypotheses and re-evaluated your understanding of how the game worked and what was possible within it? If those experiences stick with you, then you'll be in good company as Alexei Pepers shares the work of likeminded designers to define this feeling we call 'system suspense'. She'll share how we can apply the concepts of suspense and surprise to the way that players build mental models of game systems, and then dig into examples of successful techniques for evoking system suspense in games such as Caves of Qud, Blaseball, and Baldur's Gate 3. <br /><br />This talk was originally given at GDC 2025, where the recording will be behind a hefty paywall for two years. For the Roguelike Celebration preview event, Alexei is going open source and adapting her talk to share freely!	alexei-pepers
	preview	social	17:15	2:15	social time		
	preview	social	18:00	3:00	social space closes		
	1	social	9:00	18:00	social space opens		
	1	kickoff	9:15	18:15	kickoff		
roots	1	full	9:30	18:30	The Roots of Roguelikes in Fantasy Fiction	Let's take a journey into the past, before Rogue itself, back even before Dungeons and Dragons, into the tales of mystery and wonder that inspired these adventures. We'll delve into fragments of text from ancient scrolls and discuss how specific game mechanics derived from these sources.	michael-brough
hand-crafted-mix	1	full	10:00	19:00	Mixing hand-crafted content with procgen to achieve quality	As I was working on Dead Cells back in 2018 at Motion Twin, we constantly tried to strike a balance between randomly generated content and handcrafted design to suit our very small team of 5 people back then. Now I'm doing the same thing for Tenjutsu, my new upcoming rogue, but this time I'm making a full open city all by myself. I will explain how I approached that and why!	sebastien-bernard
stuff	1	lightning	10:30	19:30	Stuff: the behavioral science of inventory	The instinct to collect, arrange, display, and share is a core piece of what makes us human. Why do we do it? What makes an inventory stressful and annoying vs. a pleasurable exercise in agency and self-expression? And how does the threat of losing all that, of death, in a videogame (and outside it) shape those actions?  <br /> <br />Folks will learn: < br />- how different schools of scholarly thought think about the human relationship with objects <br />- -how screens change that (because how we perceive things on screens is fundamentally different from how we perceive meatspace data) <br />- Where the levers are to influence a player’s emotional relationship with in-game objects	max-sahin
